,pearson,spearman,mutual_info
rh_mean_pct,0.5724863074399156,0.7496886241504505,0.40705331183042937
precip_roll7,0.5053198883847693,0.5369407578852442,0.22837577319072455
temp_mean_C,-0.43057185838523165,-0.43335017179507174,0.12515676773637274
wind_mean_ms,-0.3151680375241457,-0.4566647507021395,0.11231252381943868
wind_dir_deg,0.2742895091361147,0.3546393688165249,0.1032602024782987
cloud_mean_pct,0.32168817714649883,0.39203704851174853,0.09052646279248933
precip_lag_1,0.3223324866112591,0.4288348418117627,0.07983695705457716
dew_point_C,0.0928857599607356,0.19185044509343105,0.07972722515055253
temp_min_C,-0.24057992924405175,-0.22944109793721829,0.06880284253248536
temp_max_C,-0.334377253080686,-0.32328435823467766,0.04615335888678729
month,0.09978659913097132,0.1761606055684529,0.042162323647222166
precip_lag_3,0.14254235143354826,0.2585052729359947,0.03589226334769435
temp_mean_lag_1,-0.15584988493733498,-0.14903145991423736,0.030893501618162844
lat,,,0.009567049273657702
month_sin,-0.033713188561206094,-0.06826637033493346,0.009058269228296556
press_mean_hPa,-0.02782824048042245,-0.07527220397626883,0.006034222979260484
lon,,,0.0004109589041050299
month_cos,0.03993744879943013,0.02454988511589724,0.0
